FECHA;Tipo de Cambio;Superior;Regular;Diesel;Bunker;Glp Cilindro 25Lbs.;
;GTQ/USD;GTQ/GALON;GTQ/GALON;GTQ/GALON;GTQ/GALON;GTQ/CIL 25 LB;GTQ/LB
01/ene/2025;7.70625; 28.95 ; 27.45 ; 25.47 ; 18.74 ; 110.00 ; 4.40 
02/ene/2025;7.70740; 28.95 ; 27.45 ; 25.47 ; 18.74 ; 110.00 ; 4.40 
03/ene/2025;7.70971; 28.95 ; 27.45 ; 25.47 ; 18.74 ; 110.00 ; 4.40 
04/ene/2025;7.70971; 28.95 ; 27.45 ; 25.47 ; 18.74 ; 110.00 ; 4.40 
05/ene/2025;7.70971; 28.95 ; 27.45 ; 25.47 ; 18.74 ; 110.00 ; 4.40 
06/ene/2025;7.71223; 29.56 ; 28.05 ; 26.18 ; 18.74 ; 110.00 ; 4.40 
07/ene/2025;7.70822; 29.56 ; 28.05 ; 26.18 ; 18.74 ; 110.00 ; 4.40 
08/ene/2025;7.70952; 29.56 ; 28.05 ; 26.18 ; 18.74 ; 110.00 ; 4.40 
09/ene/2025;7.70991; 29.56 ; 28.05 ; 26.18 ; 18.74 ; 110.00 ; 4.40 
10/ene/2025;7.71076; 29.56 ; 28.05 ; 26.18 ; 18.74 ; 110.00 ; 4.40 
11/ene/2025;7.71076; 29.56 ; 28.05 ; 26.18 ; 18.74 ; 110.00 ; 4.40 
12/ene/2025;7.71076; 29.56 ; 28.05 ; 26.18 ; 18.74 ; 110.00 ; 4.40 
13/ene/2025;7.70577; 30.14 ; 28.63 ; 26.75 ; 19.14 ; 110.00 ; 4.40 
14/ene/2025;7.71404; 30.14 ; 28.63 ; 26.75 ; 19.14 ; 110.00 ; 4.40 
15/ene/2025;7.71220; 30.14 ; 28.63 ; 26.75 ; 19.14 ; 110.00 ; 4.40 
16/ene/2025;7.71373; 30.14 ; 28.63 ; 26.75 ; 19.14 ; 110.00 ; 4.40 
17/ene/2025;7.71479; 30.14 ; 28.63 ; 26.75 ; 19.14 ; 110.00 ; 4.40 
18/ene/2025;7.71479; 30.14 ; 28.63 ; 26.75 ; 19.14 ; 110.00 ; 4.40 
19/ene/2025;7.71479; 30.14 ; 28.63 ; 26.75 ; 19.14 ; 110.00 ; 4.40 
20/ene/2025;7.70874; 30.63 ; 29.12 ; 27.74 ; 19.74 ; 110.00 ; 4.40 
21/ene/2025;7.71962; 30.63 ; 29.12 ; 27.74 ; 19.74 ; 110.00 ; 4.40 
22/ene/2025;7.71683; 30.63 ; 29.12 ; 27.74 ; 19.74 ; 110.00 ; 4.40 
23/ene/2025;7.72003; 30.63 ; 29.12 ; 27.74 ; 19.74 ; 110.00 ; 4.40 
24/ene/2025;7.72698; 30.63 ; 29.12 ; 27.74 ; 19.74 ; 110.00 ; 4.40 
25/ene/2025;7.72698; 30.63 ; 29.12 ; 27.74 ; 19.74 ; 110.00 ; 4.40 
26/ene/2025;7.72698; 30.63 ; 29.12 ; 27.74 ; 19.74 ; 110.00 ; 4.40 
27/ene/2025;7.72149; 30.61 ; 29.11 ; 27.73 ; 19.54 ; 110.00 ; 4.40 
28/ene/2025;7.72616; 30.61 ; 29.11 ; 27.73 ; 19.54 ; 110.00 ; 4.40 
